### Module positions - created on 2025-07-28 10:51
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 100.050mm, Pcb Width 160.053mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
J1            DIN41612_02x32_AB   DIN41612_B_2x32_Male_Horizo.. 211.5072   -50.3560   0.0000     0.0000       -9.0    top       THD
A1            Arduino_Nano_v3.x   Arduino_Nano                  98.9400    -117.5850  98.9400    -117.5850    -9.0    top       THD
U4            74AHC541            SOIC-20W_7.5x12.8mm_P1.27mm   146.1190   -87.1510   141.4690   -81.4360      0.0    top       SMD
U1            74AHC541            SOIC-20W_7.5x12.8mm_P1.27mm   146.3173   -56.7510   141.6673   -51.0360      0.0    top       SMD
CT1           10µF                CP_EIA-2012-12_Kemet-R        148.4972   -124.3900  148.4972   -123.5000    -9.0    top       SMD
U3            LT6654AIS6-2.5_TR.. SOT95P280X100-6N              155.4404   -113.5973  156.3802   -112.4543    -9.0    top       SMD
CT2           10µF                CP_EIA-2012-12_Kemet-R        144.9472   -129.9443  144.9472   -129.0543    -9.0    top       SMD
CT3           10µF                CP_EIA-2012-12_Kemet-R        144.3404   -113.9943  144.3404   -114.8843     9.0    top       SMD
CT4           10µF                CP_EIA-2012-12_Kemet-R        148.4222   -119.0668  148.4222   -118.1768    -9.0    top       SMD
U2            LTC1859IG_PBF       SSOP-28_G                     156.3294   -123.7172  159.9616   -127.9437    18.0    top       SMD
D27           SMAJ12A             D_SOD-323_HandSoldering       79.3000    -50.8500   79.3000    -49.6000     -9.0    top       SMD
J5            Conn_01x01          HIRSCHMANN_930224100          63.6172    -91.8260   0.0000     0.0000        0.0    top       THD
J3            Conn_01x01          HIRSCHMANN_930224100          63.6172    -63.7260   0.0000     0.0000        0.0    top       THD
J2            Conn_01x01          HIRSCHMANN_930224100          63.6172    -49.6760   0.0000     0.0000        0.0    top       THD
J6            Conn_01x01          HIRSCHMANN_930224100          63.6172    -105.8760  0.0000     0.0000        0.0    top       THD
D25           SMAJ15A             D_SOD-323_HandSoldering       79.7000    -79.0500   79.7000    -80.3000      9.0    top       SMD
D24           SMAJ15A             D_SOD-323_HandSoldering       79.5000    -64.8500   79.5000    -63.6000     -9.0    top       SMD
J4            Conn_01x01          HIRSCHMANN_930224100          63.6172    -77.7760   0.0000     0.0000        0.0    top       THD
C1            4.7µF               C_0805_2012Metric_Pad1.18x1.. 75.7000    -104.8500  75.7000    -105.8875     9.0    top       SMD
C2            4.7µF               C_0805_2012Metric_Pad1.18x1.. 75.7000    -50.6000   75.7000    -49.5625     -9.0    top       SMD
C3            4.7µF               C_0805_2012Metric_Pad1.18x1.. 75.7000    -64.6500   75.7000    -63.6125     -9.0    top       SMD
C4            4.7µF               C_0805_2012Metric_Pad1.18x1.. 75.3000    -78.8000   75.3000    -79.8375      9.0    top       SMD
C6            10µF                C_0805_2012Metric_Pad1.18x1.. 151.8006   -113.6153  151.8006   -114.6528     9.0    top       SMD
C7            100nF               C_0805_2012Metric_Pad1.18x1.. 158.6506   -113.5903  158.6506   -114.6278     9.0    top       SMD
C8            100nF               C_0805_2012Metric_Pad1.18x1.. 144.7472   -124.3850  144.7472   -123.3475    -9.0    top       SMD
C9            100nF               C_0805_2012Metric_Pad1.18x1.. 148.6972   -129.9168  148.6972   -128.8793    -9.0    top       SMD
C10           100nF               C_0805_2012Metric_Pad1.18x1.. 148.0604   -113.8418  148.0604   -114.8793     9.0    top       SMD
C11           100nF               C_0805_2012Metric_Pad1.18x1.. 144.8722   -118.9168  144.8722   -117.8793    -9.0    top       SMD
C12           1.5nF               C_0805_2012Metric_Pad1.18x1.. 167.7500   -119.8500  167.7500   -120.8875     9.0    top       SMD
C13           1.5nF               C_0805_2012Metric_Pad1.18x1.. 173.1500   -107.7510  173.1500   -108.7885     9.0    top       SMD
C14           1.5nF               C_0805_2012Metric_Pad1.18x1.. 176.3875   -119.9125  176.3875   -120.9500     9.0    top       SMD
C15           1.5nF               C_0805_2012Metric_Pad1.18x1.. 181.7375   -107.6510  181.7375   -108.6885     9.0    top       SMD
C16           1.5nF               C_0805_2012Metric_Pad1.18x1.. 164.5000   -107.9010  164.5000   -108.9385     9.0    top       SMD
C17           1.5nF               C_0805_2012Metric_Pad1.18x1.. 185.0000   -119.7500  185.0000   -120.7875     9.0    top       SMD
C18           1.5nF               C_0805_2012Metric_Pad1.18x1.. 190.1500   -107.4510  190.1500   -108.4885     9.0    top       SMD
C19           1.5nF               C_0805_2012Metric_Pad1.18x1.. 194.1250   -119.7375  194.1250   -120.7750     9.0    top       SMD
C20           C_Small             C_0805_2012Metric_Pad1.18x1.. 135.8500   -132.0000  134.8125   -132.0000     0.0    top       SMD
C21           C_Small             C_0805_2012Metric_Pad1.18x1.. 136.0000   -112.6000  134.9625   -112.6000     0.0    top       SMD
C22           C_Small             C_0805_2012Metric_Pad1.18x1.. 194.8000   -87.8000   194.8000   -86.7625     -9.0    top       SMD
C23           C_Small             C_0805_2012Metric_Pad1.18x1.. 177.2000   -87.8000   177.2000   -86.7625     -9.0    top       SMD
C24           C_Small             C_0805_2012Metric_Pad1.18x1.. 161.8000   -93.4000   161.0664   -92.6664     -4.5    top       SMD
C25           C_Small             C_0805_2012Metric_Pad1.18x1.. 150.7282   -103.7282  149.9946   -102.9946    -4.5    top       SMD
C26           100nF               C_0805_2012Metric_Pad1.18x1.. 165.8000   -132.9000  165.8000   -133.9375     9.0    top       SMD
D1            1N4148WT            D_SOD-523                     128.4190   -77.7510   128.4190   -77.0510     -9.0    top       SMD
D2            1N4148WT            D_SOD-523                     120.5190   -77.7510   120.5190   -77.0510     -9.0    top       SMD
D3            1N4148WT            D_SOD-523                     112.6190   -77.7510   112.6190   -77.0510     -9.0    top       SMD
D4            1N4148WT            D_SOD-523                     112.6333   -96.1485   112.6333   -96.8485      9.0    top       SMD
D5            1N4148WT            D_SOD-523                     136.5190   -77.7510   136.5190   -77.0510     -9.0    top       SMD
D6            1N4148WT            D_SOD-523                     120.6571   -96.1485   120.6571   -96.8485      9.0    top       SMD
D7            1N4148WT            D_SOD-523                     128.4667   -96.1485   128.4667   -96.8485      9.0    top       SMD
D8            1N4148WT            D_SOD-523                     136.5619   -96.1485   136.5619   -96.8485      9.0    top       SMD
D9            1N4148WT            D_SOD-523                     128.5673   -48.0355   128.5673   -47.3355     -9.0    top       SMD
D10           1N4148WT            D_SOD-523                     120.5673   -48.0355   120.5673   -47.3355     -9.0    top       SMD
D11           1N4148WT            D_SOD-523                     112.5673   -48.0355   112.5673   -47.3355     -9.0    top       SMD
D12           1N4148WT            D_SOD-523                     112.5673   -65.5010   112.5673   -66.2010      9.0    top       SMD
D13           1N4148WT            D_SOD-523                     136.5673   -48.0355   136.5673   -47.3355     -9.0    top       SMD
D14           1N4148WT            D_SOD-523                     120.5673   -65.4385   120.5673   -66.1385      9.0    top       SMD
D15           1N4148WT            D_SOD-523                     128.5673   -65.5010   128.5673   -66.2010      9.0    top       SMD
D16           1N4148WT            D_SOD-523                     136.5673   -65.5010   136.5673   -66.2010      9.0    top       SMD
